0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:35 +0200] "GET /Projekt/admin_item.jsp HTTP/1.1" 200 9852
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:35 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:39 +0200] "GET /Projekt/admin_item.jsp?uid=6 HTTP/1.1" 200 6376
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:40 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:43 +0200] "GET /Projekt/admin_item.jsp HTTP/1.1" 200 9852
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:43 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:45 +0200] "GET /Projekt/admin_user.jsp HTTP/1.1" 200 103659
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:45 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:48 +0200] "GET /Projekt/admin_user.jsp?uid=2 HTTP/1.1" 200 38367
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:48 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:59 +0200] "GET /Projekt/admin_user.jsp HTTP/1.1" 200 103659
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:40:59 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:01 +0200] "GET /Projekt/admin_user.jsp?buchungsverlauf=1 HTTP/1.1" 200 84385
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:01 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:02 +0200] "GET /Projekt/admin_user.jsp HTTP/1.1" 200 103659
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:02 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:09 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:09 +0200] "GET /Projekt/admin_user.jsp HTTP/1.1" 200 103659
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:15 +0200] "GET /Projekt/profil.jsp HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:16 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:17 +0200] "GET /Projekt/verlauf.jsp HTTP/1.1" 200 10120
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:17 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:18 +0200] "GET /Projekt/index.jsp HTTP/1.1" 200 6104
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:18 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:41:23 +0200] "GET /Projekt/auth/abmeldung HTTP/1.1" 302 -
